City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,at taj,24.2049,23.2857,293.09,27,0,3.39,LY,1697936879
190,ogulin,45.2661,15.2286,286.26,93,98,2.2,HR,1697936880
191,farmington,36.7281,-108.2187,296.53,12,0,2.06,US,1697936602
192,mili,6.0815,171.735,301.82,77,100,6.7,MH,1697936880
193,chinchilla,-26.75,150.6333,304.21,28,6,7.87,AU,1697936880
194,lihue,21.9789,-159.3672,301.73,76,75,3.6,US,1697936881
195,zag,46.9441,99.165,272.89,54,7,1.2,MN,1697936881
196,wauchope,-31.45,152.7333,310.18,15,20,2.96,AU,1697936881
197,udachny,66.4167,112.4,260.19,97,20,1.49,RU,1697936739
198,argostolion,38.1811,20.489,294.12,65,82,9.08,GR,1697936882
199,north platte,41.1239,-100.7654,288.77,55,0,4.92,US,1697936882
200,znamenskoye,57.1281,73.8282,274.2,98,100,3.82,RU,1697936882
201,waingapu,-9.6567,120.2641,302.57,61,100,4.05,ID,1697936882
202,undurkhaan,47.3194,110.6556,278.4,38,0,2.65,MN,1697936883
203,dudinka,69.4058,86.1778,271.83,89,100,7.56,RU,1697936883
204,thane,19.2,72.9667,302.1,70,99,2.06,IN,1697937248
205,olinda,-8.0089,-34.8553,300.0,78,75,3.6,BR,1697936883
206,bubaque,11.2833,-15.8333,300.93,81,30,5.12,GW,1697936884
207,puerto la cruz,10.2167,-64.6167,299.4,86,100,2.92,VE,1697936695
208,vadso,70.0744,29.7487,274.24,80,100,4.12,NO,1697936884
209,howrah,22.5892,88.3103,298.15,83,40,3.6,IN,1697936884
210,monte santo,-10.4378,-39.3328,294.72,69,47,4.49,BR,1697936885
211,yelizovo,53.1873,158.3805,284.23,50,20,4.02,RU,1697936885
212,cooma,-36.2333,149.1333,291.13,28,0,6.87,AU,1697936885
213,wailua homesteads,22.0669,-159.378,301.39,77,75,3.6,US,1697936885
214,tukrah,32.5341,20.5791,298.55,35,6,8.24,LY,1697936885
215,hauterive,46.0901,3.4459,283.57,82,4,3.01,FR,1697936886
216,mahanoro,-19.9,48.8,295.09,91,66,1.56,MG,1697936886
217,nemuro,43.3236,145.575,281.52,63,2,7.66,JP,1697936886
218,mutoko,-17.397,32.2268,294.48,54,100,0.84,ZW,1697936886
219,dubbo,-32.25,148.6167,295.22,28,0,5.66,AU,1697936774
220,castillos,-34.1667,-53.8333,288.8,89,7,4.99,UY,1697936887
221,aasiaat,68.7098,-52.8699,268.92,94,100,2.83,GL,1697936887
222,iskateley,67.6803,53.1512,272.98,85,99,10.33,RU,1697936887
223,shimokizukuri,40.8061,140.3861,284.55,71,100,8.39,JP,1697936887
224,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,50,20,4.0,RU,1697936888
225,karachi,24.9056,67.0822,297.05,88,3,0.0,PK,1697936647
226,toliara,-23.35,43.6667,295.57,75,0,2.77,MG,1697936888
227,anchorage,61.2181,-149.9003,272.95,52,0,2.24,US,1697936734
228,ola,59.5833,151.2833,277.56,77,67,7.14,RU,1697936889
229,georgetown,5.4112,100.3354,300.34,83,20,1.54,MY,1697936829
230,tuy hoa,13.0833,109.3,299.54,85,55,2.89,VN,1697936889
231,saipan,15.1355,145.701,304.54,70,20,7.72,MP,1697936889
232,catalca,41.1432,28.4615,292.57,70,0,2.26,TR,1697936890
233,al awjam,26.5632,49.9433,298.2,88,3,1.54,SA,1697936890
234,kiama,-34.6833,150.8667,300.51,33,66,5.81,AU,1697936890
235,kalifornsky,60.4183,-151.29,275.01,41,0,3.6,US,1697936890
236,nova sintra,14.8667,-24.7167,297.44,73,16,1.88,CV,1697936890
237,el granada,37.5027,-122.4694,293.1,75,0,5.66,US,1697936891
238,walvis bay,-22.9575,14.5053,287.64,90,0,1.53,,1697936891
239,hayvoron,48.3396,29.8679,290.12,60,0,2.98,UA,1697936891
240,vilyuysk,63.7553,121.6247,271.28,90,100,2.65,RU,1697936891
241,hithadhoo,-0.6,73.0833,300.46,78,15,7.2,MV,1697936892
242,jalai nur,49.45,117.7,279.18,46,11,1.65,CN,1697936892
243,onguday,50.75,86.15,279.04,94,100,0.55,RU,1697936892
244,san antonio de pale,-1.4014,5.6325,298.43,85,100,5.58,GQ,1697936892
245,lata,40.1629,-8.3327,287.08,89,100,1.54,PT,1697936893
246,narasannapeta,18.4167,84.05,296.13,80,97,2.82,IN,1697936893
247,saint-leu,-21.15,55.2833,295.9,96,26,3.94,RE,1697936893
248,mozarlandia,-14.7447,-50.5706,300.14,63,46,1.09,BR,1697936893
249,sitka,57.0531,-135.33,281.09,71,20,8.23,US,1697936894
250,port lincoln,-34.7333,135.8667,288.48,52,19,5.36,AU,1697936894
251,oradea,47.0667,21.9333,295.17,53,75,6.17,RO,1697936894
252,la sarre,48.8002,-79.1996,276.64,79,100,6.91,CA,1697936781
253,albertina,-22.2008,-46.6158,291.69,80,0,2.32,BR,1697936895
254,qurayyat,31.3318,37.3428,295.25,28,0,2.06,SA,1697936895
255,calabozo,8.9242,-67.4293,298.7,88,100,1.39,VE,1697936895
256,soio,-6.1349,12.3689,298.1,88,100,4.2,AO,1697936677
257,el burgo de osma,41.5862,-3.0652,279.72,77,99,1.79,ES,1697936895
258,redencao,-4.2258,-38.7306,297.79,89,93,2.48,BR,1697936896
259,ajaccio,42.0,8.9167,289.18,88,20,2.06,FR,1697936896
260,west island,-12.1568,96.8225,299.14,73,40,5.66,CC,1697936896
261,paita,-5.0892,-81.1144,293.85,85,67,6.07,PE,1697936896
262,shache,38.4167,77.2406,282.43,26,53,0.49,CN,1697936897
263,lucapa,-8.4192,20.7447,291.85,92,16,0.76,AO,1697936676
264,guatrache,-37.6678,-63.5302,287.57,93,70,3.35,AR,1697936897
265,cabo san lucas,22.8909,-109.9124,299.13,96,100,21.62,MX,1697936730
266,juneau,58.3019,-134.4197,277.16,82,75,2.57,US,1697936897
267,fang,19.9169,99.2145,295.69,96,30,0.51,TH,1697936898
268,utrik,11.2278,169.8474,300.9,80,100,9.22,MH,1697936898
269,zvecka,44.6389,20.1647,292.54,54,100,6.14,RS,1697936898
270,koungou,-12.7336,45.2042,299.99,83,75,4.12,YT,1697936898
271,badger,64.8,-147.5333,270.08,73,100,3.09,US,1697936898
272,mao,39.8885,4.2658,291.46,59,0,1.54,ES,1697936899
273,plastun,44.7561,136.2939,279.94,43,35,4.2,RU,1697936899
274,geraldton,-28.7667,114.6,295.38,73,24,6.17,AU,1697936899
275,takoradi,4.8845,-1.7554,298.11,90,8,3.05,GH,1697936899
276,hafar al-batin,28.4328,45.9708,294.47,40,0,2.06,SA,1697936900
277,saldanha,-33.0117,17.9442,288.39,80,7,4.49,ZA,1697936900
278,khawr fakkan,25.3313,56.342,302.18,83,0,2.07,AE,1697936900
279,kalmunai,7.4167,81.8167,297.9,90,100,3.05,LK,1697936900
280,minas de marcona,-15.2119,-75.1103,288.64,91,100,4.33,PE,1697936901
